"","animalid","Sex","Neutered","Breed","CauseDeath","Method.of.death","dateBirth","dateDeath"
"17371",6909095,"Female","Neutered","Chinese Shar-Pei","Thin","Euthanasia",2004-01-11,2017-03-07
"17372",2229655,"Female","Entire","Labrador Retriever","Spinal cord disorder","Euthanasia",2004-06-08,2017-07-04
"17373",12357149,"Female","Neutered","Staffordshire Bull Terrier","Lower respiratory tract disorder","Euthanasia",2004-01-01,2016-01-09
"17376",3979373,"Male","Neutered","Jack Russell Terrier","Collapsed","Euthanasia",2004-01-04,2016-02-12
"17378",7144770,"Female","Entire","Crossbreed","Poor quality of life","Euthanasia",2004-02-05,2017-02-01
"17380",11514381,"Male","Neutered","West Highland White Terrier","Enteropathy","Euthanasia",2005-05-12,2018-07-08
"17383",1832063,"Male","Neutered","Border Collie","Musculoskeletal disorder","Euthanasia",2003-09-12,2016-10-08
"17384",1858410,"Male","Neutered","Boxer","Mass","Euthanasia",2004-06-09,2017-09-05
"17386",11589429,"Male","Neutered","Scottish Terrier","Behaviour disorder","Euthanasia",2003-01-10,2016-02-06
"17389",11967243,"Female","Neutered","Crossbreed","Collapsed","Euthanasia",2005-01-06,2018-02-02
"17391",2919022,"Male","Entire","English Toy Terrier","Lymph node disorder","Euthanasia",2004-08-10,2017-11-06
"17397",12489976,"Female","Neutered","Cavalier King Charles Spaniel","Abdominal disease","Euthanasia",2004-01-10,2017-04-06
"17407",11636725,"Male","Entire","Miniature Schnauzer","Collapsed","Euthanasia",2003-03-11,2016-07-07
"17408",1598080,"Female","Neutered","Crossbreed","Brain disorder","Euthanasia",2003-01-05,2016-04-01
"17409",11512253,"Male","Neutered","Crossbreed","Neoplasia","Euthanasia",2005-01-03,2017-04-11
"17421",1048210,"Male","Entire","German Shepherd Dog","Disorder not diagnsosed","Unrecorded",2004-01-11,2017-07-07
"17422",12340382,"Female","Neutered","Cocker Spaniel","Kidney disease","Euthanasia",2005-01-09,2018-07-05
"17428",1873424,"Male","Neutered","Staffordshire Bull Terrier","Skin disorder","Euthanasia",2004-05-11,2017-12-07
"17431",12189096,"Male","Neutered","Yorkshire Terrier","Behaviour disorder","Euthanasia",2004-01-07,2017-08-03
"17433",3170267,"Female","Neutered","Jack Russell Terrier","Disorder not diagnsosed","Euthanasia",2003-07-06,2016-12-02
"17434",11795572,"Female","Neutered","Crossbreed","Lower respiratory tract disorder","Euthanasia",2005-04-07,2018-11-03
"17437",11506913,"Male","Neutered","Hungarian Vizsla","Incontinence","Euthanasia",2003-01-12,2016-07-08
"17438",1834503,"Male","Neutered","Crossbreed","Lethargy","Euthanasia",2004-04-02,2016-11-10
"17441",12342900,"Male","Entire","West Highland White Terrier","Musculoskeletal disorder","Euthanasia",2004-05-01,2016-11-09
"17442",2261347,"Female","Neutered","Lhasa Apso","Neoplasia","Euthanasia",2005-06-05,2018-12-01
"17445",2094734,"Male","Neutered","Staffordshire Bull Terrier","Collapsed","Euthanasia",2006-05-06,2019-11-02
"17449",1836168,"Male","Entire","Border Collie","Neoplasia","Euthanasia",2004-05-04,2016-12-12
"17451",11363342,"Male","Entire","Jack Russell Terrier","Haematopoietic disorder","Euthanasia",2004-01-09,2017-10-05
"17452",11589432,"Male","Neutered","West Highland White Terrier","Collapsed","Euthanasia",2003-01-10,2016-08-06
"17458",3449512,"Male","Neutered","Crossbreed","Neoplasia","Euthanasia",2004-01-09,2017-11-05
"17459",2036663,"Male","Neutered","English Cocker Spaniel","Mass","Euthanasia",2003-04-08,2016-12-04
"17555",2900957,"Female","Neutered","Crossbreed","Pancreatic disorder","Euthanasia",2003-11-06,2016-01-03
"17565",11439074,"Female","Neutered","Golden Retriever","Mass","Euthanasia",2004-09-06,2017-01-03
"17579",1539811,"Female","Entire","Cavalier King Charles Spaniel","Mass","Euthanasia",2006-09-11,2019-01-08
"17582",2053877,"Female","Entire","Lhasa Apso","Disorder not diagnsosed","Unassisted",2004-12-05,2017-02-02
"17588",11968458,"Male","Neutered","Labradoodle","Spinal cord disorder","Euthanasia",2005-12-08,2018-05-05
"17607",2907650,"Male","Entire","Border Collie","Disorder not diagnsosed","Unassisted",2003-11-11,2016-05-08
"17614",11495791,"Female","Neutered","West Highland White Terrier","Disorder not diagnsosed","Unassisted",2003-12-08,2016-07-05
"17616",2922960,"Female","Entire","English Springer Spaniel","Disorder not diagnsosed","Unassisted",2005-06-07,2018-01-04
"17618",2766155,"Male","Entire","German Shepherd Dog","Thin","Euthanasia",2005-11-10,2018-07-07
"17625",1837707,"Female","Entire","Crossbreed","Female reproductive disorder","Euthanasia",2004-09-05,2017-03-02
"17630",1426903,"Male","Neutered","Labrador Retriever","Laryngeal disorder","Euthanasia",2003-12-08,2016-08-05
"17631",1663636,"Male","Entire","Staffordshire Bull Terrier","Disorder not diagnsosed","Euthanasia",2005-10-08,2018-07-05
"17633",3415272,"Male","Entire","Jack Russell Terrier","Abdominal disease","Euthanasia",2005-09-06,2018-07-03
"17644",1892345,"Male","Entire","Crossbreed","Spinal cord disorder","Euthanasia",2004-09-01,2016-07-10
"17653",11545992,"Male","Entire","Labrador Retriever","Collapsed","Euthanasia",2003-11-11,2016-10-08
"17656",11964979,"Male","Neutered","Shih-tzu","Ophthalmological disorder","Euthanasia",2005-11-01,2017-12-10
"17657",12381551,"Male","Entire","Crossbreed","Disorder not diagnsosed","Euthanasia",2005-01-11,2018-02-08
"17659",1281012,"Male","Neutered","Cocker Spaniel","Neoplasia","Euthanasia",2003-01-06,2016-02-03
"17660",11577585,"Male","Neutered","Yorkshire Terrier","Dental disorder","Euthanasia",2003-09-10,2016-10-07
"17661",2063571,"Male","Entire","West Highland White Terrier","Collapsed","Euthanasia",2004-02-12,2017-03-09
"17663",3353173,"Male","Entire","Staffordshire Bull Terrier","Mass","Euthanasia",2004-10-07,2017-11-04
"17670",11964056,"Male","Neutered","German Shepherd Dog","Mass","Euthanasia",2004-01-11,2017-04-08
"17671",11501291,"Male","Entire","Standard Doberman Pinscher","Brain disorder","Euthanasia",2004-03-11,2017-06-08
"17675",3172558,"Male","Entire","Rottweiler","Musculoskeletal disorder","Euthanasia",2004-03-03,2016-05-12
"17679",12380174,"Male","Neutered","Jack Russell Terrier","Poor quality of life","Euthanasia",2005-01-01,2017-05-10
"17680",6967473,"Female","Neutered","Golden Retriever","Disorder not diagnsosed","Unrecorded",2004-06-04,2017-09-01
"17681",6844066,"Male","Entire","Crossbreed","Collapsed","Euthanasia",2004-02-08,2017-07-05
"17687",2912607,"Male","Neutered","Crossbreed","Mass","Euthanasia",2004-01-08,2017-07-05
"17689",3169073,"Male","Neutered","Golden Retriever","Neoplasia","Euthanasia",2003-04-11,2016-09-08
"17692",7345304,"Female","Entire","West Highland White Terrier","Mass","Euthanasia",2003-01-05,2016-05-02
"17696",11610363,"Female","Neutered","Scottish Smooth Collie","Collapsed","Euthanasia",2005-01-08,2018-08-05
"17698",8194357,"Male","Neutered","Yorkshire Terrier","Endocrine system disorder","Euthanasia",2006-01-06,2019-09-03
"17700",961795,"Female","Entire","Labrador Retriever","Collapsed","Euthanasia",2004-04-04,2017-10-01
"17705",7349788,"Male","Entire","Jack Russell Terrier","Behaviour disorder","Euthanasia",2005-01-05,2018-07-02
"17708",12376067,"Female","Neutered","Labrador Retriever","Disorder not diagnsosed","Unrecorded",2003-01-06,2016-09-03
"17710",3344568,"Male","Neutered","Staffordshire Bull Terrier","Mass","Euthanasia",2005-01-07,2018-09-04
"17713",12367652,"Female","Entire","Labrador Retriever","Mass","Euthanasia",2003-01-08,2016-09-05
"17721",11402555,"Male","Entire","Staffordshire Bull Terrier","Collapsed","Euthanasia",2003-01-08,2016-10-05
"17722",11967592,"Female","Neutered","Flat Coated Retriever","Poor quality of life","Euthanasia",2005-01-07,2018-10-04
"17724",11577814,"Male","Neutered","Powder Puff Chinese Crested","Incontinence","Euthanasia",2003-01-11,2016-10-08
"17727",1636345,"Male","Entire","Staffordshire Bull Terrier","Poor quality of life","Euthanasia",2003-01-05,2016-09-02
"17729",11404881,"Male","Entire","Labrador Retriever","Enteropathy","Unassisted",2005-03-03,2017-12-12
"17741",11320186,"Female","Entire","Crossbreed","Upper respiratory tract disorder","Unassisted",2005-01-04,2018-11-01
"17742",11608684,"Male","Entire","Cavalier King Charles Spaniel","Heart disease","Euthanasia",2006-01-04,2019-11-01
"17743",2070248,"Female","Neutered","Staffordshire Bull Terrier","Brain disorder","Euthanasia",2003-01-04,2016-11-01
"17753",11557064,"Male","Neutered","Crossbreed","Lower respiratory tract disorder","Euthanasia",2005-01-05,2018-11-02
"17816",2390798,"Male","Entire","Crossbreed","Musculoskeletal disorder","Euthanasia",2004-10-12,2017-01-10
"17820",3380921,"Male","Neutered","Crossbreed","Enteropathy","Euthanasia",2004-11-08,2017-02-06
"17834",11966795,"Male","Neutered","Crossbreed","Behaviour disorder","Euthanasia",2005-08-05,2018-02-03
"17837",11557393,"Male","Neutered","Staffordshire Bull Terrier","Disorder not diagnsosed","Euthanasia",2004-11-04,2017-03-02
"17850",2241259,"Female","Neutered","Boxer","Poor quality of life","Euthanasia",2005-08-04,2018-01-02
"17855",6731834,"Male","Neutered","Crossbreed","Mass","Euthanasia",2005-12-05,2018-08-03
"17861",2249416,"Female","Neutered","Jack Russell Terrier","Collapsed","Euthanasia",2005-07-09,2018-04-07
"17866",11502076,"Female","Entire","Staffordshire Bull Terrier","Neoplasia","Euthanasia",2004-08-03,2017-03-01
"17875",6967111,"Female","Neutered","Crossbreed","Heart disease","Euthanasia",2003-05-04,2016-01-02
"17887",2491546,"Male","Neutered","Crossbreed","Disorder not diagnsosed","Euthanasia",2004-06-03,2017-03-01
"17888",2901859,"Female","Neutered","Staffordshire Bull Terrier","Neoplasia","Euthanasia",2003-03-05,2016-01-03
"17892",1598078,"Female","Neutered","Miniature Poodle","Disorder not diagnsosed","Unassisted",2003-07-03,2016-04-01
"17895",2470246,"Male","Entire","Miniature Schnauzer","Musculoskeletal disorder","Euthanasia",2004-03-08,2017-02-06
"17896",7117929,"Female","Entire","Jack Russell Terrier","Lethargy","Euthanasia",2004-02-12,2017-01-10
"17899",3171071,"Male","Entire","Boxer","Brain disorder","Euthanasia",2003-11-09,2016-10-07
"17900",2204252,"Female","Neutered","Labrador Retriever","Disorder not diagnsosed","Euthanasia",2004-05-07,2017-04-05
"17902",3325252,"Female","Neutered","Crossbreed","Incontinence","Euthanasia",2004-11-06,2017-10-04
"17903",12380356,"Female","Neutered","Labrador Retriever","Brain disorder","Euthanasia",2004-11-09,2017-11-07
"17907",969469,"Male","Entire","Labrador Retriever","Ear disorder","Euthanasia",2004-08-04,2017-06-02
"17908",11546240,"Female","Neutered","Crossbreed","Appetite disoder","Euthanasia",2003-12-12,2016-11-10
"17909",1886678,"Female","Neutered","German Shepherd Dog","Neoplasia","Euthanasia",2003-02-08,2016-01-06
"17912",2841366,"Male","Neutered","Labrador Retriever","Neoplasia","Unassisted",2005-07-02,2017-09-12
"17914",2362037,"Female","Entire","Scottish Terrier","Disorder not diagnsosed","Unassisted",2005-07-05,2018-08-03
"17918",11439575,"Male","Entire","Miniature Schnauzer","Heart disease","Euthanasia",2004-05-08,2017-06-06
"17921",11506328,"Female","Neutered","German Shepherd Dog","Disorder not diagnsosed","Euthanasia",2003-07-10,2016-07-08
"17925",1887788,"Male","Neutered","Cocker Spaniel","Enteropathy","Euthanasia",2003-01-09,2016-03-07
"17926",2329253,"Female","Neutered","Labrador Retriever","Laryngeal disorder","Euthanasia",2004-07-07,2017-09-05
"17930",7346173,"Male","Entire","German Shepherd Dog","Collapsed","Euthanasia",2003-01-09,2016-03-07
"17933",11378867,"Female","Neutered","Labrador Retriever","Collapsed","Euthanasia",2005-08-02,2017-12-12
"17937",3174924,"Male","Neutered","Springer Spaniel - Unspecified","Collapsed","Euthanasia",2004-04-10,2017-07-08
"17939",1869785,"Female","Neutered","Labrador Retriever","Collapsed","Euthanasia",2004-09-08,2017-12-06
"17940",2191308,"Female","Neutered","Labrador Retriever","Collapsed","Euthanasia",2005-07-07,2018-10-05
"17941",11381390,"Male","Neutered","Boxer","Brain disorder","Euthanasia",2004-05-12,2017-08-10
"17942",3462669,"Male","Entire","Staffordshire Bull Terrier","Collapsed","Euthanasia",2004-07-11,2017-10-09
"17945",1621514,"Male","Neutered","Cavalier King Charles Spaniel","Collapsed","Euthanasia",2005-01-02,2017-06-12
"17949",12406812,"Female","Neutered","Jack Russell Terrier","Disorder not diagnsosed","Euthanasia",2004-01-03,2017-03-01
"17951",11405195,"Female","Neutered","Cocker Spaniel","Kidney disease","Euthanasia",2004-01-07,2017-05-05
"17953",2410171,"Male","Neutered","Lurcher","Disorder not diagnsosed","Unrecorded",2003-06-12,2016-09-10
"17956",12350266,"Male","Entire","Staffordshire Bull Terrier","Lethargy","Euthanasia",2003-01-09,2016-05-07
"17957",2043789,"Female","Entire","English Toy Terrier","Skin disorder","Euthanasia",2004-07-03,2017-10-01
"17959",11544576,"Male","Neutered","German Shepherd Dog","Disorder not diagnsosed","Euthanasia",2003-02-03,2016-05-01
"17960",12357316,"Male","Entire","Labrador Retriever","Disorder not diagnsosed","Euthanasia",2004-01-03,2017-04-01
"17961",11967253,"Male","Neutered","Staffordshire Bull Terrier","Disorder not diagnsosed","Unassisted",2005-04-06,2018-09-04
"17965",6731060,"Female","Entire","Cavalier King Charles Spaniel","Disorder not diagnsosed","Unrecorded",2003-06-03,2016-10-01
"17966",11438875,"Male","Entire","Labrador Retriever","Disorder not diagnsosed","Euthanasia",2004-01-05,2017-07-03
"17967",2050691,"Female","Neutered","German Shepherd Dog","Collapsed","Euthanasia",2004-01-03,2017-05-01
"17969",11578386,"Female","Neutered","Bedlington Terrier","Mass","Euthanasia",2003-01-12,2016-06-10
"17971",11958364,"Male","Entire","Golden Retriever","Neoplasia","Euthanasia",2003-06-08,2016-11-06
"17972",1631886,"Female","Neutered","German Shepherd Dog","Disorder not diagnsosed","Euthanasia",2003-01-11,2016-06-09
"17974",11374540,"Male","Neutered","Crossbreed","Ophthalmological disorder","Euthanasia",2004-01-04,2017-06-02
"17975",7117953,"Female","Neutered","Crossbreed","Disorder not diagnsosed","Euthanasia",2005-01-07,2018-08-05
"17978",3372324,"Male","Neutered","Cocker Spaniel","Haematopoietic disorder","Euthanasia",2004-01-06,2017-08-04
"17979",2908463,"Male","Neutered","Border Collie","Brain disorder","Euthanasia",2003-03-12,2016-09-10
"17980",1885616,"Male","Neutered","Crossbreed","Disorder not diagnsosed","Euthanasia",2003-06-07,2016-12-05
"17982",3177505,"Male","Neutered","Weimaraner","Neoplasia","Euthanasia",2005-05-06,2018-12-04
"17985",3887247,"Male","Neutered","West Highland White Terrier","Disorder not diagnsosed","Unassisted",2004-04-04,2017-10-02
"17989",11498717,"Male","Neutered","Staffordshire Bull Terrier","Endocrine system disorder","Euthanasia",2004-01-05,2017-09-03
"17991",11319610,"Male","Neutered","Labrador Retriever","Disorder not diagnsosed","Unassisted",2004-05-03,2017-11-01
"17996",11495652,"Male","Entire","Crossbreed","Upper respiratory tract disorder","Euthanasia",2003-01-08,2016-08-06
"17997",2474157,"Female","Neutered","Bichon Frise","Brain disorder","Euthanasia",2004-03-11,2017-11-09
"17998",1538807,"Male","Entire","Crossbreed","Disorder not diagnsosed","Unassisted",2003-01-09,2016-09-07
"18001",1397651,"Female","Neutered","Staffordshire Bull Terrier","Abdominal disease","Euthanasia",2003-01-09,2016-10-07
"18003",11555809,"Female","Neutered","English Springer Spaniel","Disorder not diagnsosed","Euthanasia",2004-02-03,2017-10-01
"18009",1442904,"Female","Neutered","Border Terrier","Poor quality of life","Euthanasia",2003-01-06,2016-11-04
"18013",11384276,"Female","Neutered","German Shepherd Dog","Disorder not diagnsosed","Euthanasia",2005-01-08,2018-12-06
"18023",12337107,"Male","Neutered","Greyhound","Collapsed","Euthanasia",2003-01-10,2016-12-08
"18094",11467781,"Female","Neutered","Weimaraner","Musculoskeletal disorder","Euthanasia",2005-10-08,2018-01-07
"18103",11309210,"Female","Neutered","Rottweiler","Disorder not diagnsosed","Unassisted",2004-12-01,2016-03-12
"18104",11580229,"Male","Entire","Labrador Retriever","Collapsed","Euthanasia",2004-10-05,2017-01-04
"18105",11516744,"Female","Neutered","Border Collie","Disorder not diagnsosed","Euthanasia",2005-12-11,2018-04-10
"18144",3262463,"Female","Neutered","Shetland Sheepdog","Poor quality of life","Euthanasia",2005-09-05,2018-04-04
"18149",3560627,"Male","Entire","Whippet","Neoplasia","Euthanasia",2004-08-03,2017-02-02
"18160",2911898,"Male","Neutered","Crossbreed","Brain disorder","Euthanasia",2004-12-04,2017-10-03
"18163",11506306,"Female","Neutered","English Springer Spaniel","Neoplasia","Euthanasia",2004-06-06,2017-04-05
"18168",1868236,"Male","Entire","Yorkshire Terrier","Disorder not diagnsosed","Euthanasia",2004-04-07,2017-01-06
"18171",3766248,"Male","Entire","Crossbreed","Liver disorder","Euthanasia",2004-04-04,2017-03-03
"18177",3868594,"Female","Neutered","Staffordshire Bull Terrier","Neoplasia","Euthanasia",2005-12-07,2018-10-06
"18179",2059634,"Female","Neutered","Labrador Retriever","Kidney disease","Euthanasia",2004-07-09,2017-06-08
"18181",2350248,"Male","Neutered","West Highland White Terrier","Disorder not diagnsosed","Euthanasia",2004-09-07,2017-07-06
"18186",11557265,"Female","Neutered","King Charles Spaniel","Mass","Euthanasia",2004-04-04,2017-05-03
"18187",6731039,"Female","Entire","Crossbreed","Collapsed","Euthanasia",2003-08-02,2016-09-01
"18188",1048616,"Male","Entire","Crossbreed","Mass","Euthanasia",2005-01-02,2018-02-01
"18189",3803775,"Female","Entire","Old English Sheepdog","Disorder not diagnsosed","Euthanasia",2005-01-02,2018-02-01
"18193",11791253,"Male","Entire","Labrador Retriever","Musculoskeletal disorder","Euthanasia",2004-06-10,2017-06-09
"18194",6932665,"Female","Entire","Border Collie","Female reproductive disorder","Euthanasia",2003-08-10,2016-07-09
"18196",2394301,"Female","Entire","Jack Russell Terrier","Behaviour disorder","Unrecorded",2005-09-03,2018-08-02
"18199",1446057,"Female","Neutered","Scottish Rough Collie","Disorder not diagnsosed","Euthanasia",2003-08-02,2016-10-01
"18201",11643771,"Female","Neutered","Cocker Spaniel","Behaviour disorder","Euthanasia",2004-04-09,2017-06-08
"18203",2045123,"Female","Neutered","Yorkshire Terrier","Lower respiratory tract disorder","Euthanasia",2003-08-10,2016-08-09
"18205",12490359,"Male","Neutered","Cardigan Welsh Corgi","Parasite infestation","Euthanasia",2005-05-09,2018-07-08
"18209",11510565,"Female","Neutered","Yorkshire Terrier","Heart disease","Euthanasia",2004-05-11,2017-08-10
"18218",12339406,"Male","Neutered","German Shepherd Dog","Disorder not diagnsosed","Euthanasia",2004-01-11,2017-04-10
"18219",1613089,"Female","Neutered","Crossbreed","Poor quality of life","Euthanasia",2005-01-04,2018-05-03
"18220",11599504,"Female","Neutered","Crossbreed","Neoplasia","Euthanasia",2005-06-04,2018-10-03
"18225",11443824,"Male","Neutered","Labrador Retriever","Disorder not diagnsosed","Euthanasia",2006-01-05,2019-04-04
"18230",11886317,"Male","Neutered","Labrador Retriever","Mass","Euthanasia",2004-01-03,2017-03-02
"18231",11312738,"Female","Neutered","Lurcher","Neoplasia","Euthanasia",2003-01-12,2016-04-11
"18237",3175233,"Female","Neutered","Papillon","Brain disorder","Euthanasia",2004-03-11,2017-08-10
"18238",1044691,"Male","Entire","Labrador Retriever","Disorder not diagnsosed","Euthanasia",2003-01-05,2016-04-04
"18239",3456190,"Female","Entire","Staffordshire Bull Terrier","Disorder not diagnsosed","Euthanasia",2004-01-08,2017-06-07
"18254",12343489,"Female","Neutered","Shetland Sheepdog","Lower respiratory tract disorder","Euthanasia",2004-01-07,2017-07-06
"18255",12406328,"Male","Entire","Springer Spaniel - Unspecified","Collapsed","Euthanasia",2003-01-11,2016-07-10
"18257",11508028,"Female","Entire","Greyhound","Collapsed","Euthanasia",2005-01-03,2018-06-02
"18265",11609744,"Male","Entire","Samoyed","Musculoskeletal disorder","Euthanasia",2005-01-07,2018-08-06
"18273",2036505,"Male","Neutered","Labrador Retriever","Disorder not diagnsosed","Euthanasia",2003-06-03,2016-12-02
"18279",7111800,"Female","Neutered","Shih-tzu","Kidney disease","Euthanasia",2005-01-03,2018-08-02
"18280",11362822,"Female","Neutered","Staffordshire Bull Terrier","Heart disease","Euthanasia",2003-01-02,2016-11-01
"18281",11552742,"Male","Neutered","Miniature Schnauzer","Collapsed","Euthanasia",2003-02-09,2016-11-08
"18285",2078608,"Female","Neutered","German Shepherd Dog","Musculoskeletal disorder","Euthanasia",2003-02-12,2016-11-11
"18287",2049570,"Female","Neutered","Border Terrier","Enteropathy","Euthanasia",2004-02-02,2017-12-01
"18298",12350463,"Male","Neutered","Crossbreed","Brain disorder","Euthanasia",2003-01-11,2016-12-10
"18392",1844538,"Male","Entire","Whippet","Musculoskeletal disorder","Euthanasia",2004-08-10,2017-01-10
"18400",2352935,"Male","Neutered","Crossbreed","Brain disorder","Euthanasia",2004-10-09,2017-04-09
"18403",6755765,"Male","Entire","West Highland White Terrier","Neoplasia","Euthanasia",2004-11-07,2017-05-07
"18406",11637200,"Male","Neutered","Staffordshire Bull Terrier","Disorder not diagnsosed","Euthanasia",2003-11-12,2016-05-12
"18413",2336085,"Male","Entire","Crossbreed","Lymph node disorder","Euthanasia",2003-08-06,2016-02-06
"18420",1314202,"Male","Neutered","Labrador Retriever","Disorder not diagnsosed","Euthanasia",2003-08-05,2016-03-05
"18422",2186144,"Female","Neutered","Bichon Frise","Kidney disease","Euthanasia",2003-11-01,2016-08-01
"18423",11440682,"Male","Neutered","Border Terrier","Brain disorder","Euthanasia",2005-05-03,2018-02-03
"18429",11512909,"Male","Entire","English Springer Spaniel","Anal sac disorder","Euthanasia",2005-07-04,2018-04-04
"18437",2206306,"Male","Entire","Staffordshire Bull Terrier","Brain disorder","Euthanasia",2003-10-03,2016-07-03
"18439",3828226,"Female","Neutered","Crossbreed","Neoplasia","Euthanasia",2004-05-04,2017-03-04
"18444",11886516,"Male","Neutered","Crossbreed","Disorder not diagnsosed","Euthanasia",2004-10-03,2017-09-03
"18445",11312404,"Female","Neutered","Scottish Terrier","Lethargy","Euthanasia",2005-03-04,2018-02-04
"18449",1600821,"Female","Entire","Crossbreed","Mass","Euthanasia",2003-06-01,2016-05-01
"18454",11574898,"Female","Entire","Staffordshire Bull Terrier","Female reproductive disorder","Euthanasia",2003-04-02,2016-04-02
"18455",11835913,"Male","Entire","Lurcher","Enteropathy","Euthanasia",2003-04-02,2016-04-02
"18458",11493849,"Male","Entire","Border Collie","Disorder not diagnsosed","Euthanasia",2003-09-02,2016-09-02
"18459",1599540,"Female","Entire","Border Collie","Collapsed","Euthanasia",2003-05-01,2016-05-01
"18461",1603077,"Female","Entire","Collie","Brain disorder","Euthanasia",2003-08-01,2016-08-01
"18465",11880509,"Female","Entire","Crossbreed","Collapsed","Euthanasia",2003-05-01,2016-05-01
"18471",3505170,"Male","Entire","Rottweiler","Disorder not diagnsosed","Euthanasia",2003-04-01,2016-04-01
"18474",1631878,"Male","Entire","Staffordshire Bull Terrier","Heart disease","Euthanasia",2003-05-02,2016-05-02
"18475",1605937,"Female","Entire","Yorkshire Terrier","Mass","Euthanasia",2003-11-01,2016-11-01
"18480",12342649,"Female","Neutered","Labrador Retriever","Mass","Euthanasia",2003-04-10,2016-03-10
"18481",12350022,"Male","Entire","German Shepherd Dog","Disorder not diagnsosed","Euthanasia",2003-05-05,2016-04-05
"18482",12356512,"Male","Entire","Crossbreed","Disorder not diagnsosed","Unassisted",2003-12-06,2016-11-06
"18485",6755751,"Female","Entire","Border Collie","Female reproductive disorder","Euthanasia",2003-11-07,2016-10-07
"18487",3859567,"Female","Entire","Staffordshire Bull Terrier","Collapsed","Euthanasia",2003-05-04,2016-04-04
"18488",11391738,"Female","Neutered","Grand Basset Griffon Vendeen","Collapsed","Euthanasia",2003-04-07,2016-03-07
"18491",3952549,"Male","Entire","Chihuahua","Upper respiratory tract disorder","Euthanasia",2003-03-06,2016-02-06
"18503",6866584,"Female","Neutered","Weimaraner","Mass","Euthanasia",2003-11-08,2016-10-08
"18505",3895992,"Male","Entire","Bull Mastiff","Male reproductive system disorder","Euthanasia",2003-11-05,2016-10-05
"18515",11882588,"Male","Neutered","Border Terrier","Neoplasia","Euthanasia",2003-02-07,2016-01-07
"18520",6753146,"Male","Entire","Chihuahua","Collapsed","Euthanasia",2003-10-07,2016-09-07
"18521",7017673,"Male","Entire","Cocker Spaniel","Behaviour disorder","Euthanasia",2003-08-10,2016-07-10
"18523",7015458,"Male","Entire","Crossbreed","Mass","Euthanasia",2003-07-10,2016-06-10
"18524",6929258,"Female","Entire","Crossbreed","Collapsed","Euthanasia",2003-09-09,2016-08-09
"18525",6912679,"Female","Entire","Crossbreed","Heart disease","Euthanasia",2003-04-09,2016-03-09
"18527",6861734,"Female","Neutered","Crossbreed","Neoplasia","Euthanasia",2003-09-08,2016-08-08
"18529",3953496,"Female","Neutered","Crossbreed","Lower respiratory tract disorder","Euthanasia",2003-04-06,2016-03-06
"18536",6913623,"Female","Neutered","English Cocker Spaniel","Disorder not diagnsosed","Unassisted",2003-05-09,2016-04-09
"18537",6861736,"Female","Entire","German Shepherd Dog","Disorder not diagnsosed","Euthanasia",2003-09-08,2016-08-08
"18545",3830596,"Female","Neutered","Jack Russell Terrier","Traumatic injury","Euthanasia",2003-05-04,2016-04-04
"18550",6754260,"Male","Neutered","Labrador Retriever","Disorder not diagnsosed","Euthanasia",2003-11-07,2016-10-07
"18554",6751804,"Male","Entire","Papillon","Poor quality of life","Euthanasia",2003-09-07,2016-08-07
"18559",3838826,"Male","Neutered","Springer Spaniel - Unspecified","Disorder not diagnsosed","Euthanasia",2003-12-04,2016-11-04
"18561",11589206,"Female","Entire","Staffordshire Bull Terrier","Disorder not diagnsosed","Unassisted",2003-11-09,2016-10-09
"18564",3888332,"Female","Neutered","Staffordshire Bull Terrier","Collapsed","Euthanasia",2003-09-05,2016-08-05
"18566",11587301,"Female","Entire","Staffordshire Bull Terrier","Brain disorder","Unassisted",2003-10-04,2016-09-04
"18570",11501000,"Male","Neutered","Yorkshire Terrier","Disorder not diagnsosed","Unassisted",2003-09-04,2016-08-04
"18572",11840108,"Male","Entire","Crossbreed","Mass","Euthanasia",2004-05-02,2017-05-02
"18573",11960706,"Female","Neutered","Crossbreed","Collapsed","Unassisted",2004-01-03,2017-02-03
"18578",3534564,"Female","Entire","Border Collie","Incontinence","Euthanasia",2003-05-02,2016-06-02
"18585",7724277,"Female","Entire","Crossbreed","Musculoskeletal disorder","Euthanasia",2003-09-11,2016-09-11
"18589",3561708,"Male","Entire","Crossbreed","Collapsed","Euthanasia",2003-09-03,2016-09-03
"18592",3558424,"Male","Entire","German Shepherd Dog","Collapsed","Euthanasia",2003-05-03,2016-05-03
"18606",3950287,"Female","Neutered","Lhasa Apso","Heart disease","Euthanasia",2003-02-06,2016-02-06
"18607",11586989,"Male","Entire","Pug","Collapsed","Euthanasia",2005-11-08,2018-12-08
"18608",2258782,"Male","Entire","Jack Russell Terrier","Disorder not diagnsosed","Euthanasia",2003-04-09,2016-04-09
"18611",6752423,"Female","Entire","Greyhound","Musculoskeletal disorder","Euthanasia",2003-09-07,2016-09-07
"18615",6920445,"Female","Entire","Staffordshire Bull Terrier","Mass","Euthanasia",2003-07-09,2016-07-09
"18616",6863643,"Female","Entire","Crossbreed","Lethargy","Euthanasia",2003-10-08,2016-10-08
"18617",11495421,"Female","Neutered","Staffordshire Bull Terrier","Skin disorder","Euthanasia",2003-11-07,2016-11-07
"18618",3844208,"Male","Entire","Golden Retriever","Appetite disoder","Euthanasia",2003-10-04,2016-10-04
